2024-02-05 20:41:35,199 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Configure stats pid to 36701
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Loading settings from /Users/asanthan/.config/wandb/settings
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Loading settings from /Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/wandb/settings
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RAG/utils/evaluation/rag_evaluation.py', 'program_abspath': '/Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/rag_evaluation.py', 'program': '/Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/rag_evaluation.py'}
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:_log_setup():526] Logging user logs to /Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/wandb/run-20240205_204135-fs42yq18/logs/debug.log
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/wandb/run-20240205_204135-fs42yq18/logs/debug-internal.log
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:init():566] calling init triggers
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:init():616] starting backend
2024-02-05 20:41:35,200 INFO    MainThread:36701 [wandb_init.py:init():620] setting up manager
2024-02-05 20:41:35,201 INFO    MainThread:36701 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-05 20:41:35,203 INFO    MainThread:36701 [wandb_init.py:init():628] backend started and connected
2024-02-05 20:41:35,208 INFO    MainThread:36701 [wandb_init.py:init():720] updated telemetry
2024-02-05 20:41:35,226 INFO    MainThread:36701 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-05 20:41:35,851 INFO    MainThread:36701 [wandb_run.py:_on_init():2254] communicating current version
2024-02-05 20:41:35,972 INFO    MainThread:36701 [wandb_run.py:_on_init():2263] got version response 
2024-02-05 20:41:35,972 INFO    MainThread:36701 [wandb_init.py:init():804] starting run threads in backend
2024-02-05 20:41:36,058 INFO    MainThread:36701 [wandb_run.py:_console_start():2233] atexit reg
2024-02-05 20:41:36,058 INFO    MainThread:36701 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-05 20:41:36,058 INFO    MainThread:36701 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-05 20:41:36,058 INFO    MainThread:36701 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-05 20:41:36,059 INFO    MainThread:36701 [wandb_init.py:init():847] run started, returning control to user process
